first,second
w10 p4 s1,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [340.02, 331.76, 324.25, 319.05, 315.11, 313.4, 316.3, 324.33, 341.88, 345.08, 343.07, 339.8, 329.31, 316.37, 308.64, 318.15, 334.67, 401.37, 462.58, 424.65, 359.5, 326.41, 336.67, 318.3], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w10 p4 s2,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [340.02, 331.76, 324.25, 319.05, 315.11, 313.4, 316.3, 324.33, 341.88, 345.08, 343.07, 339.8, 329.31, 316.37, 308.64, 318.15, 334.67, 401.37, 462.58, 424.65, 359.5, 326.41, 336.67, 318.3], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w10 p4 s3,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [340.02, 331.76, 324.25, 319.05, 315.11, 313.4, 316.3, 324.33, 341.88, 345.08, 343.07, 339.8, 329.31, 316.37, 308.64, 318.15, 334.67, 401.37, 462.58, 424.65, 359.5, 326.41, 336.67, 318.3], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w10 p5 s1,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [338.48, 332.53, 325.76, 326.65, 327.7, 367.18, 438.64, 498.5, 496.34, 432.76, 368.15, 332.53, 328.29, 317.95, 321.15, 333.87, 349.33, 419.08, 503.25, 520.51, 447.78, 407.04, 388.45, 288.58], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w10 p5 s2,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [338.48, 332.53, 325.76, 326.65, 327.7, 367.18, 438.64, 498.5, 496.34, 432.76, 368.15, 332.53, 328.29, 317.95, 321.15, 333.87, 349.33, 419.08, 503.25, 520.51, 447.78, 407.04, 388.45, 288.58], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w10 p5 s3,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [338.48, 332.53, 325.76, 326.65, 327.7, 367.18, 438.64, 498.5, 496.34, 432.76, 368.15, 332.53, 328.29, 317.95, 321.15, 333.87, 349.33, 419.08, 503.25, 520.51, 447.78, 407.04, 388.45, 288.58], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w10 p6 s1,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [413.22, 394.48, 372.02, 364.66, 364.36, 394.7, 437.98, 519.78, 506.24, 433.96, 353.14, 337.15, 326.51, 321.53, 320.71, 324.43, 315.36, 318.48, 313.65, 309.34, 287.62, 283.98, 256.24, 179.36], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w10 p6 s2,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [413.22, 394.48, 372.02, 364.66, 364.36, 394.7, 437.98, 519.78, 506.24, 433.96, 353.14, 337.15, 326.51, 321.53, 320.71, 324.43, 315.36, 318.48, 313.65, 309.34, 287.62, 283.98, 256.24, 179.36], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w10 p6 s3,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [413.22, 394.48, 372.02, 364.66, 364.36, 394.7, 437.98, 519.78, 506.24, 433.96, 353.14, 337.15, 326.51, 321.53, 320.71, 324.43, 315.36, 318.48, 313.65, 309.34, 287.62, 283.98, 256.24, 179.36], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w10 p7 s1,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [301.84, 295.66, 294.47, 286.07, 279.52, 257.36, 256.76, 247.91, 233.48, 151.51, 120.87, 134.41, 44.7, 15.02, 0.74, 7.51, 53.41, 88.89, 97.14, 86.73, 78.32, 40.46, 24.1, 0.37], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w10 p7 s2,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [301.84, 295.66, 294.47, 286.07, 279.52, 257.36, 256.76, 247.91, 233.48, 151.51, 120.87, 134.41, 44.7, 15.02, 0.74, 7.51, 53.41, 88.89, 97.14, 86.73, 78.32, 40.46, 24.1, 0.37], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w10 p7 s3,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [301.84, 295.66, 294.47, 286.07, 279.52, 257.36, 256.76, 247.91, 233.48, 151.51, 120.87, 134.41, 44.7, 15.02, 0.74, 7.51, 53.41, 88.89, 97.14, 86.73, 78.32, 40.46, 24.1, 0.37], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w10 p8 s1,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [371.86, 374.61, 387.92, 393.35, 409.78, 515.17, 640.26, 714.71, 475.97, 383.68, 375.57, 367.91, 368.21, 349.47, 341.81, 343.59, 359.96, 372.6, 402.57, 359.44, 402.2, 368.36, 359.96, 481.16], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w10 p8 s2,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [371.86, 374.61, 387.92, 393.35, 409.78, 515.17, 640.26, 714.71, 475.97, 383.68, 375.57, 367.91, 368.21, 349.47, 341.81, 343.59, 359.96, 372.6, 402.57, 359.44, 402.2, 368.36, 359.96, 481.16], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w10 p8 s3,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [371.86, 374.61, 387.92, 393.35, 409.78, 515.17, 640.26, 714.71, 475.97, 383.68, 375.57, 367.91, 368.21, 349.47, 341.81, 343.59, 359.96, 372.6, 402.57, 359.44, 402.2, 368.36, 359.96, 481.16], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w10 p9 s1,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [387.35, 375.23, 364.59, 367.57, 365.63, 358.49, 367.27, 377.46, 357.53, 343.4, 343.03, 326.52, 256.02, 245.91, 204.27, 19.48, 265.99, 375.67, 415.68, 499.04, 494.43, 458.66, 393.3, 403.93], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w10 p9 s2,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [387.35, 375.23, 364.59, 367.57, 365.63, 358.49, 367.27, 377.46, 357.53, 343.4, 343.03, 326.52, 256.02, 245.91, 204.27, 19.48, 265.99, 375.67, 415.68, 499.04, 494.43, 458.66, 393.3, 403.93], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w10 p9 s3,"[[0.72, 0.7, 0.66, 0.63, 0.6, 0.61, 0.61, 0.61, 0.54, 0.45, 0.37, 0.38, 0.4, 0.4, 0.42, 0.43, 0.4, 0.41, 0.46, 0.51, 0.57, 0.58, 0.53, 0.48], [387.35, 375.23, 364.59, 367.57, 365.63, 358.49, 367.27, 377.46, 357.53, 343.4, 343.03, 326.52, 256.02, 245.91, 204.27, 19.48, 265.99, 375.67, 415.68, 499.04, 494.43, 458.66, 393.3, 403.93], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w2 p1 s1,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [378.52, 358.58, 332.46, 319.37, 300.54, 299.13, 294.89, 298.31, 307.09, 333.95, 334.85, 351.22, 377.85, 338.49, 332.84, 346.68, 394.3, 448.39, 451.0, 449.14, 427.11, 400.77, 397.72, 369.97], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w2 p1 s2,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [378.52, 358.58, 332.46, 319.37, 300.54, 299.13, 294.89, 298.31, 307.09, 333.95, 334.85, 351.22, 377.85, 338.49, 332.84, 346.68, 394.3, 448.39, 451.0, 449.14, 427.11, 400.77, 397.72, 369.97], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w2 p1 s3,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [378.52, 358.58, 332.46, 319.37, 300.54, 299.13, 294.89, 298.31, 307.09, 333.95, 334.85, 351.22, 377.85, 338.49, 332.84, 346.68, 394.3, 448.39, 451.0, 449.14, 427.11, 400.77, 397.72, 369.97], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w2 p10 s1,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [394.35, 392.34, 399.92, 421.79, 451.61, 595.42, 702.43, 754.86, 644.43, 609.78, 608.74, 580.18, 535.41, 475.92, 451.83, 442.83, 526.42, 579.73, 637.81, 661.24, 647.26, 609.78, 579.96, 505.67], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w2 p10 s2,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [394.35, 392.34, 399.92, 421.79, 451.61, 595.42, 702.43, 754.86, 644.43, 609.78, 608.74, 580.18, 535.41, 475.92, 451.83, 442.83, 526.42, 579.73, 637.81, 661.24, 647.26, 609.78, 579.96, 505.67], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w2 p10 s3,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [394.35, 392.34, 399.92, 421.79, 451.61, 595.42, 702.43, 754.86, 644.43, 609.78, 608.74, 580.18, 535.41, 475.92, 451.83, 442.83, 526.42, 579.73, 637.81, 661.24, 647.26, 609.78, 579.96, 505.67], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w2 p11 s1,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [438.31, 420.16, 418.15, 423.51, 461.06, 587.41, 637.98, 647.72, 581.53, 483.0, 454.37, 432.28, 417.34, 411.98, 423.21, 432.28, 524.87, 590.16, 644.74, 633.14, 598.64, 560.04, 498.84, 483.37], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w2 p11 s2,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [438.31, 420.16, 418.15, 423.51, 461.06, 587.41, 637.98, 647.72, 581.53, 483.0, 454.37, 432.28, 417.34, 411.98, 423.21, 432.28, 524.87, 590.16, 644.74, 633.14, 598.64, 560.04, 498.84, 483.37], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w2 p11 s3,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [438.31, 420.16, 418.15, 423.51, 461.06, 587.41, 637.98, 647.72, 581.53, 483.0, 454.37, 432.28, 417.34, 411.98, 423.21, 432.28, 524.87, 590.16, 644.74, 633.14, 598.64, 560.04, 498.84, 483.37], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w2 p12 s1,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [540.63, 508.13, 487.83, 491.47, 515.49, 601.68, 663.85, 687.87, 629.05, 553.57, 590.15, 611.12, 491.17, 484.85, 492.66, 531.7, 607.55, 639.6, 722.74, 713.0, 670.24, 648.83, 602.13, 607.91], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w2 p12 s2,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [540.63, 508.13, 487.83, 491.47, 515.49, 601.68, 663.85, 687.87, 629.05, 553.57, 590.15, 611.12, 491.17, 484.85, 492.66, 531.7, 607.55, 639.6, 722.74, 713.0, 670.24, 648.83, 602.13, 607.91], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w2 p12 s3,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [540.63, 508.13, 487.83, 491.47, 515.49, 601.68, 663.85, 687.87, 629.05, 553.57, 590.15, 611.12, 491.17, 484.85, 492.66, 531.7, 607.55, 639.6, 722.74, 713.0, 670.24, 648.83, 602.13, 607.91], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w2 p13 s1,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [580.69, 543.88, 527.0, 505.22, 532.28, 613.78, 718.26, 721.76, 649.11, 571.1, 468.7, 441.19, 430.18, 428.62, 429.14, 439.18, 545.45, 680.11, 743.17, 769.42, 773.14, 757.82, 678.78, 612.27], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w2 p13 s2,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [580.69, 543.88, 527.0, 505.22, 532.28, 613.78, 718.26, 721.76, 649.11, 571.1, 468.7, 441.19, 430.18, 428.62, 429.14, 439.18, 545.45, 680.11, 743.17, 769.42, 773.14, 757.82, 678.78, 612.27], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w2 p13 s3,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [580.69, 543.88, 527.0, 505.22, 532.28, 613.78, 718.26, 721.76, 649.11, 571.1, 468.7, 441.19, 430.18, 428.62, 429.14, 439.18, 545.45, 680.11, 743.17, 769.42, 773.14, 757.82, 678.78, 612.27], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w2 p14 s1,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [370.46, 358.85, 348.52, 343.68, 346.95, 372.84, 391.28, 398.87, 395.15, 391.36, 374.18, 362.2, 323.38, 299.5, 323.53, 348.52, 398.12, 546.35, 688.7, 769.55, 751.18, 632.18, 517.79, 438.84], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w2 p14 s2,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [370.46, 358.85, 348.52, 343.68, 346.95, 372.84, 391.28, 398.87, 395.15, 391.36, 374.18, 362.2, 323.38, 299.5, 323.53, 348.52, 398.12, 546.35, 688.7, 769.55, 751.18, 632.18, 517.79, 438.84], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w2 p14 s3,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [370.46, 358.85, 348.52, 343.68, 346.95, 372.84, 391.28, 398.87, 395.15, 391.36, 374.18, 362.2, 323.38, 299.5, 323.53, 348.52, 398.12, 546.35, 688.7, 769.55, 751.18, 632.18, 517.79, 438.84], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w2 p15 s1,"[[0.79, 0.8, 0.8, 0.81, 0.81, 0.8, 0.8, 0.8, 0.78, 0.73, 0.68, 0.66, 0.64, 0.62, 0.58, 0.53, 0.54, 0.58, 0.64, 0.65, 0.68, 0.68, 0.67, 0.68], [291.53, 284.61, 237.39, 278.89, 378.39, 537.17, 612.73, 646.28, 588.49, 487.05, 476.93, 464.22, 455.29, 456.78, 408.81, 423.54, 557.48, 679.52, 765.34, 800.3, 766.01, 716.48, 622.11, 547.74], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
