first,second
w1 p12 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [540.63, 508.13, 487.83, 491.47, 515.49, 601.68, 663.85, 687.87, 629.05, 553.57, 590.15, 611.12, 491.17, 484.85, 492.66, 531.7, 607.55, 639.6, 722.74, 713.0, 670.24, 648.83, 602.13, 607.91], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w1 p12 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [540.63, 508.13, 487.83, 491.47, 515.49, 601.68, 663.85, 687.87, 629.05, 553.57, 590.15, 611.12, 491.17, 484.85, 492.66, 531.7, 607.55, 639.6, 722.74, 713.0, 670.24, 648.83, 602.13, 607.91], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w1 p13 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [580.69, 543.88, 527.0, 505.22, 532.28, 613.78, 718.26, 721.76, 649.11, 571.1, 468.7, 441.19, 430.18, 428.62, 429.14, 439.18, 545.45, 680.11, 743.17, 769.42, 773.14, 757.82, 678.78, 612.27], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w1 p13 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [580.69, 543.88, 527.0, 505.22, 532.28, 613.78, 718.26, 721.76, 649.11, 571.1, 468.7, 441.19, 430.18, 428.62, 429.14, 439.18, 545.45, 680.11, 743.17, 769.42, 773.14, 757.82, 678.78, 612.27], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w1 p13 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [580.69, 543.88, 527.0, 505.22, 532.28, 613.78, 718.26, 721.76, 649.11, 571.1, 468.7, 441.19, 430.18, 428.62, 429.14, 439.18, 545.45, 680.11, 743.17, 769.42, 773.14, 757.82, 678.78, 612.27], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w1 p14 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [370.46, 358.85, 348.52, 343.68, 346.95, 372.84, 391.28, 398.87, 395.15, 391.36, 374.18, 362.2, 323.38, 299.5, 323.53, 348.52, 398.12, 546.35, 688.7, 769.55, 751.18, 632.18, 517.79, 438.84], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w1 p14 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [370.46, 358.85, 348.52, 343.68, 346.95, 372.84, 391.28, 398.87, 395.15, 391.36, 374.18, 362.2, 323.38, 299.5, 323.53, 348.52, 398.12, 546.35, 688.7, 769.55, 751.18, 632.18, 517.79, 438.84], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w1 p14 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [370.46, 358.85, 348.52, 343.68, 346.95, 372.84, 391.28, 398.87, 395.15, 391.36, 374.18, 362.2, 323.38, 299.5, 323.53, 348.52, 398.12, 546.35, 688.7, 769.55, 751.18, 632.18, 517.79, 438.84], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w1 p15 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [291.53, 284.61, 237.39, 278.89, 378.39, 537.17, 612.73, 646.28, 588.49, 487.05, 476.93, 464.22, 455.29, 456.78, 408.81, 423.54, 557.48, 679.52, 765.34, 800.3, 766.01, 716.48, 622.11, 547.74], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w1 p15 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [291.53, 284.61, 237.39, 278.89, 378.39, 537.17, 612.73, 646.28, 588.49, 487.05, 476.93, 464.22, 455.29, 456.78, 408.81, 423.54, 557.48, 679.52, 765.34, 800.3, 766.01, 716.48, 622.11, 547.74], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
